mc	mn	mc_onset	mn_onset	timesig	staff	voice	volta	label	alt_label	globalkey	localkey	pedal	chord	numeral	form	figbass	changes	relativeroot	cadence	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note
77	77	0	0	4/4	3	1		I6(2)		d	i		I6(2)	I		6	2				M	1	1	4, 1, 2		0	4
77	77	1/4	1/4	4/4	3	1		I6		d	i		I6	I		6					M	1	1	4, 1, 0		0	4
77	77	1/2	1/2	4/4	3	1		i6		d	i		i6	i		6					m	1	1	-3, 1, 0		0	-3
78	78	0	0	4/4	3	1		ii		d	i		ii	ii							m	1	1	2, -1, 3		2	2
78	78	1/2	1/2	4/4	3	1		i		d	i		i	i							m	1	1	0, -3, 1		0	0
80	80	0	0	4/4	3	1		V6		d	i		V6	V		6					M	1	1	5, 2, 1		1	5
80	80	1/2	1/2	4/4	3	1		v6		d	i		v6	v		6					m	1	1	-2, 2, 1		1	-2
81	81	0	0	4/4	3	1		IV6(2)		d	i		IV6(2)	IV		6	2				M	1	1	3, 0, 1		-1	3
81	81	1/4	1/4	4/4	3	1		IV6		d	i		IV6	IV		6					M	1	1	3, 0, -1		-1	3
81	81	1/2	1/2	4/4	3	1		iv6		d	i		iv6	iv		6					m	1	1	-4, 0, -1		-1	-4
81	81	3/4	3/4	4/4	3	1		vii%43/III		d	i		vii%43/III	vii	%	43		III			%7	1	1	-4, 0, 2, -1		2	-4
82	82	0	0	4/4	3	1		III6		d	i		III6	III		6					M	1	1	1, -2, -3		-3	1
82	82	1/4	1/4	4/4	3	1		v		d	i		v	v							m	1	1	1, -2, 2		1	1
82	82	3/4	3/4	4/4	3	1		i6		d	i		i6	i		6					m	1	1	-3, 1, 0		0	-3
83	83	0	0	4/4	3	1		i		d	i		i	i							m	1	1	0, -3, 1		0	0
83	83	1/4	1/4	4/4	3	1		IV		d	i		IV	IV							M	1	1	-1, 3, 0		-1	-1
83	83	3/4	3/4	4/4	3	1		VII6		d	i		VII6	VII		6					M	1	1	2, -1, -2		-2	2
84	84	0	0	4/4	3	1		VII		d	i		VII	VII							M	1	1	-2, 2, -1		-2	-2
84	84	1/4	1/4	4/4	3	1		III		d	i		III	III							M	1	1	-3, 1, -2		-3	-3
84	84	3/4	3/4	4/4	3	1		i		d	i		i	i							m	1	1	0, -3, 1		0	0
